system:index,CLOUD_COVERAGE_ASSESSMENT
COPERNICUS/S2/20160104T081332_20160104T082038_T35MQT,56
COPERNICUS/S2/20160104T081332_20160104T082038_T35MRT,51
COPERNICUS/S2/20160104T083120_20160104T120805_T35MQT,56.385
COPERNICUS/S2/20160104T083120_20160104T120805_T35MRT,56.385
COPERNICUS/S2/20160114T081542_20160114T082227_T35MQT,99
COPERNICUS/S2/20160114T081542_20160114T082227_T35MRT,100
COPERNICUS/S2/20160114T083309_20160114T121047_T35MQT,75.769
COPERNICUS/S2/20160114T083309_20160114T121047_T35MRT,75.769
COPERNICUS/S2/20160124T081222_20160124T081224_T35MQT,5.059
COPERNICUS/S2/20160124T081222_20160124T081224_T35MRT,9.185
COPERNICUS/S2/20160124T081224_20160124T120244_T35MQT,36.216
COPERNICUS/S2/20160124T081224_20160124T120244_T35MRT,36.216
COPERNICUS/S2/20160203T081132_20160203T082822_T35MQT,65.619
COPERNICUS/S2/20160203T081132_20160203T082822_T35MRT,81.835
COPERNICUS/S2/20160203T082822_20160203T134646_T35MQT,86.37
COPERNICUS/S2/20160203T082822_20160203T134646_T35MRT,86.37
COPERNICUS/S2/20160213T081042_20160213T082324_T35MQT,56.553
COPERNICUS/S2/20160213T081042_20160213T082324_T35MRT,46.221
COPERNICUS/S2/20160213T082324_20160213T135037_T35MQT,61.972
COPERNICUS/S2/20160213T082324_20160213T135037_T35MRT,61.972
COPERNICUS/S2/20160304T080822_20160304T082822_T35MQT,81.701
COPERNICUS/S2/20160304T080822_20160304T082822_T35MRT,86.624
COPERNICUS/S2/20160304T082822_20160304T154432_T35MQT,58.984
COPERNICUS/S2/20160304T082822_20160304T154432_T35MRT,58.984
COPERNICUS/S2/20160314T081002_20160314T082117_T35MQT,93.449
COPERNICUS/S2/20160314T081002_20160314T082117_T35MRT,80.32
COPERNICUS/S2/20160314T082117_20160314T135640_T35MQT,51.549
COPERNICUS/S2/20160314T082117_20160314T135640_T35MRT,51.549
COPERNICUS/S2/20160324T081002_20160324T082216_T35MQT,13.338
COPERNICUS/S2/20160324T081002_20160324T082216_T35MRT,28.188
COPERNICUS/S2/20160324T082216_20160324T134536_T35MQT,69.777
COPERNICUS/S2/20160324T082216_20160324T134536_T35MRT,69.777
COPERNICUS/S2/20160403T080542_20160403T082619_T35MQT,99.502
COPERNICUS/S2/20160403T080542_20160403T082619_T35MRT,99.971
COPERNICUS/S2/20160403T082619_20160403T115822_T35MQT,99.54
COPERNICUS/S2/20160403T082619_20160403T115822_T35MRT,99.54
COPERNICUS/S2/20160413T081002_20160413T082739_T35MQT,44.44
COPERNICUS/S2/20160413T081002_20160413T082739_T35MRT,40.353
COPERNICUS/S2/20160413T082739_20160413T115726_T35MQT,58.344
COPERNICUS/S2/20160413T082739_20160413T115726_T35MRT,58.344
COPERNICUS/S2/20160423T081002_20160423T082623_T35MQT,81.511
COPERNICUS/S2/20160423T081002_20160423T082623_T35MRT,47.33
COPERNICUS/S2/20160423T082623_20160423T115135_T35MQT,50.124
COPERNICUS/S2/20160423T082623_20160423T115135_T35MRT,50.124
COPERNICUS/S2/20160503T080612_20160503T082019_T35MQT,46.794
COPERNICUS/S2/20160503T080612_20160503T082019_T35MRT,56.058
COPERNICUS/S2/20160503T082019_20160503T133307_T35MQT,46.664
COPERNICUS/S2/20160503T082019_20160503T133307_T35MRT,46.664
COPERNICUS/S2/20160513T081012_20160513T082745_T35MQT,35.867
COPERNICUS/S2/20160513T081012_20160513T082745_T35MRT,23.717
COPERNICUS/S2/20160513T082745_20160513T115135_T35MQT,19.586
COPERNICUS/S2/20160513T082745_20160513T115135_T35MRT,19.586
COPERNICUS/S2/20160523T080612_20160523T082707_T35MQT,50.492
COPERNICUS/S2/20160523T080612_20160523T082707_T35MRT,49.2
COPERNICUS/S2/20160523T082707_20160523T115650_T35MQT,39.558
COPERNICUS/S2/20160523T082707_20160523T115650_T35MRT,39.558
COPERNICUS/S2/20160602T081012_20160602T082521_T35MQT,42.676
COPERNICUS/S2/20160602T081012_20160602T082521_T35MRT,26.925
COPERNICUS/S2/20160602T081012_20160602T115109_T35MQT,15.098
COPERNICUS/S2/20160602T081012_20160602T115109_T35MRT,15.098
COPERNICUS/S2/20160612T080612_20160612T082523_T35MQT,18.42
COPERNICUS/S2/20160612T080612_20160612T082523_T35MRT,2.484
COPERNICUS/S2/20160612T082523_20160612T115644_T35MQT,13.277
COPERNICUS/S2/20160612T082523_20160612T115644_T35MRT,13.277
COPERNICUS/S2/20160622T081002_20160622T082224_T35MQT,87.197
COPERNICUS/S2/20160622T081002_20160622T082224_T35MRT,83.976
COPERNICUS/S2/20160622T082224_20160622T134212_T35MQT,62.342
COPERNICUS/S2/20160622T082224_20160622T134212_T35MRT,62.342
COPERNICUS/S2/20160702T080612_20160702T082522_T35MQT,0.007
COPERNICUS/S2/20160702T080612_20160702T082522_T35MRT,0
COPERNICUS/S2/20160702T082522_20160702T115814_T35MQT,1.457
COPERNICUS/S2/20160702T082522_20160702T115814_T35MRT,1.457
COPERNICUS/S2/20160712T082816_20160712T115623_T35MQT,72.972
COPERNICUS/S2/20160712T082816_20160712T115623_T35MRT,72.972
COPERNICUS/S2/20160722T080612_20160722T082655_T35MQT,14.145
COPERNICUS/S2/20160722T082655_20160722T115748_T35MQT,41.449
COPERNICUS/S2/20160722T082655_20160722T115748_T35MRT,41.449
COPERNICUS/S2/20160801T081012_20160801T082958_T35MQT,10.284
COPERNICUS/S2/20160801T081012_20160801T082958_T35MRT,28.51
COPERNICUS/S2/20160801T082958_20160801T115729_T35MQT,37.75
COPERNICUS/S2/20160801T082958_20160801T115729_T35MRT,37.75
COPERNICUS/S2/20160811T080612_20160811T082534_T35MQT,1.035
COPERNICUS/S2/20160811T080612_20160811T082534_T35MRT,0
COPERNICUS/S2/20160811T080612_20160811T115739_T35MQT,1.037
COPERNICUS/S2/20160811T080612_20160811T115739_T35MRT,1.037
COPERNICUS/S2/20160821T081002_20160821T082952_T35MQT,0.338
COPERNICUS/S2/20160821T081002_20160821T082952_T35MRT,0
COPERNICUS/S2/20160821T081002_20160821T115725_T35MQT,5.381
COPERNICUS/S2/20160821T081002_20160821T115725_T35MRT,5.381
COPERNICUS/S2/20160831T080612_20160831T082520_T35MQT,2.989
COPERNICUS/S2/20160831T080612_20160831T082520_T35MRT,0.002
COPERNICUS/S2/20160831T080612_20160831T115736_T35MQT,8.306
COPERNICUS/S2/20160831T080612_20160831T115736_T35MRT,8.306
COPERNICUS/S2/20160910T081002_20160910T082509_T35MQT,26.437
COPERNICUS/S2/20160910T081002_20160910T082509_T35MRT,7.305
COPERNICUS/S2/20160910T081002_20160910T115131_T35MQT,53.364
COPERNICUS/S2/20160910T081002_20160910T115131_T35MRT,53.364
COPERNICUS/S2/20160920T080612_20160920T082528_T35MQT,12.952
COPERNICUS/S2/20160920T080612_20160920T082528_T35MRT,2.112
COPERNICUS/S2/20160920T080612_20160920T115751_T35MQT,17.69
COPERNICUS/S2/20160920T080612_20160920T115751_T35MRT,17.69
COPERNICUS/S2/20160930T081002_20160930T082540_T35MQT,23.872
COPERNICUS/S2/20160930T081002_20160930T082540_T35MRT,32.368
COPERNICUS/S2/20160930T081002_20160930T115144_T35MQT,23.872
COPERNICUS/S2/20160930T081002_20160930T115144_T35MRT,32.368
COPERNICUS/S2/20161010T080842_20161010T082711_T35MQT,97.417
COPERNICUS/S2/20161010T080842_20161010T082711_T35MRT,97.564
COPERNICUS/S2/20161010T080842_20161010T115736_T35MQT,97.417
COPERNICUS/S2/20161010T080842_20161010T115736_T35MRT,97.564
COPERNICUS/S2/20161020T081002_20161020T082713_T35MQT,77.463
COPERNICUS/S2/20161020T081002_20161020T082713_T35MRT,12.732
COPERNICUS/S2/20161020T081002_20161020T133339_T35MQT,77.463
COPERNICUS/S2/20161020T081002_20161020T133339_T35MRT,12.732
COPERNICUS/S2/20161030T081042_20161030T083032_T35MQT,87.031
COPERNICUS/S2/20161030T081042_20161030T083032_T35MRT,87.165
COPERNICUS/S2/20161030T081042_20161030T133508_T35MQT,87.031
COPERNICUS/S2/20161030T081042_20161030T133508_T35MRT,87.165
COPERNICUS/S2/20161109T081142_20161109T083015_T35MQT,47.198
COPERNICUS/S2/20161109T081142_20161109T083015_T35MRT,79.95
COPERNICUS/S2/20161109T081142_20161109T115131_T35MQT,47.198
COPERNICUS/S2/20161109T081142_20161109T115131_T35MRT,79.95
COPERNICUS/S2/20161119T081232_20161119T083004_T35MQT,80.22
COPERNICUS/S2/20161119T081232_20161119T083004_T35MRT,99.601
COPERNICUS/S2/20161119T081232_20161119T133501_T35MQT,80.22
COPERNICUS/S2/20161119T081232_20161119T133501_T35MRT,99.601
COPERNICUS/S2/20161129T081302_20161129T082536_T35MQT,73.652
COPERNICUS/S2/20161129T081302_20161129T082536_T35MRT,80.718
COPERNICUS/S2/20161129T081302_20161129T115139_T35MQT,73.652
COPERNICUS/S2/20161129T081302_20161129T115139_T35MRT,80.718
COPERNICUS/S2/20161209T081332_20161209T082354_T35MQT,17.534
COPERNICUS/S2/20161209T081332_20161209T082354_T35MRT,16.111
COPERNICUS/S2/20161219T081332_20161219T082051_T35MQT,23.746
COPERNICUS/S2/20161219T081332_20161219T082051_T35MRT,48.449
COPERNICUS/S2/20161229T081332_20161229T082442_T35MQT,74.261
COPERNICUS/S2/20161229T081332_20161229T082442_T35MRT,52.201
COPERNICUS/S2/20170108T081311_20170108T082804_T35MQT,37
COPERNICUS/S2/20170108T081311_20170108T082804_T35MRT,74.129
COPERNICUS/S2/20170118T081241_20170118T081845_T35MQT,99.44
COPERNICUS/S2/20170118T081241_20170118T081845_T35MRT,96.942
COPERNICUS/S2/20170128T081201_20170128T082546_T35MQT,98.668
COPERNICUS/S2/20170128T081201_20170128T082546_T35MRT,99.448
COPERNICUS/S2/20170207T081111_20170207T082724_T35MQT,8.847
COPERNICUS/S2/20170207T081111_20170207T082724_T35MRT,7.717
COPERNICUS/S2/20170217T081001_20170217T082743_T35MQT,99.64
COPERNICUS/S2/20170217T081001_20170217T082743_T35MRT,100
COPERNICUS/S2/20170227T081001_20170227T082827_T35MQT,99.98
COPERNICUS/S2/20170227T081001_20170227T082827_T35MRT,100
COPERNICUS/S2/20170309T080741_20170309T082709_T35MQT,92.959
COPERNICUS/S2/20170309T080741_20170309T082709_T35MRT,82.753
COPERNICUS/S2/20170319T080951_20170319T082659_T35MQT,81.448
COPERNICUS/S2/20170319T080951_20170319T082659_T35MRT,93.158
COPERNICUS/S2/20170329T080601_20170329T082208_T35MQT,90.31
COPERNICUS/S2/20170329T080601_20170329T082208_T35MRT,91.636
COPERNICUS/S2/20170408T081001_20170408T082535_T35MQT,99.862
COPERNICUS/S2/20170408T081001_20170408T082535_T35MRT,99.299
COPERNICUS/S2/20170418T080611_20170418T082958_T35MQT,76.253
COPERNICUS/S2/20170418T080611_20170418T082958_T35MRT,91.828
COPERNICUS/S2/20170428T081011_20170428T082529_T35MQT,98.461
COPERNICUS/S2/20170428T081011_20170428T082529_T35MRT,93.584
COPERNICUS/S2/20170508T080611_20170508T082932_T35MQT,73.758
COPERNICUS/S2/20170508T080611_20170508T082932_T35MRT,86.556
COPERNICUS/S2/20170518T081011_20170518T082540_T35MQT,74.848
COPERNICUS/S2/20170518T081011_20170518T082540_T35MRT,84.648
COPERNICUS/S2/20170528T080611_20170528T082853_T35MQT,9.614
COPERNICUS/S2/20170528T080611_20170528T082853_T35MRT,6.817
COPERNICUS/S2/20170607T081001_20170607T082824_T35MQT,10.796
COPERNICUS/S2/20170607T081001_20170607T082824_T35MRT,1.652
COPERNICUS/S2/20170617T080611_20170617T082908_T35MQT,84.246
COPERNICUS/S2/20170617T080611_20170617T082908_T35MRT,78.149
COPERNICUS/S2/20170627T081001_20170627T082535_T35MQT,17.286
COPERNICUS/S2/20170627T081001_20170627T082535_T35MRT,1.389
COPERNICUS/S2/20170702T081009_20170702T082404_T35MQT,6.648
COPERNICUS/S2/20170702T081009_20170702T082404_T35MRT,0.003
COPERNICUS/S2/20170707T080611_20170707T082640_T35MQT,92.706
COPERNICUS/S2/20170707T080611_20170707T082640_T35MRT,85.675
COPERNICUS/S2/20170712T081009_20170712T082537_T35MQT,12.275
COPERNICUS/S2/20170712T081009_20170712T082537_T35MRT,8.926
COPERNICUS/S2/20170717T081001_20170717T082534_T35MQT,51.214
COPERNICUS/S2/20170717T081001_20170717T082534_T35MRT,70.232
COPERNICUS/S2/20170722T080609_20170722T082803_T35MQT,45.215
COPERNICUS/S2/20170722T080609_20170722T082803_T35MRT,69.109
COPERNICUS/S2/20170727T080611_20170727T082750_T35MQT,5.912
COPERNICUS/S2/20170727T080611_20170727T082750_T35MRT,7.093
COPERNICUS/S2/20170801T080959_20170801T082536_T35MQT,36.268
COPERNICUS/S2/20170801T080959_20170801T082536_T35MRT,24.502
COPERNICUS/S2/20170806T081001_20170806T082647_T35MQT,87.182
COPERNICUS/S2/20170806T081001_20170806T082647_T35MRT,32.211
COPERNICUS/S2/20170811T080609_20170811T082754_T35MQT,80.029
COPERNICUS/S2/20170811T080609_20170811T082754_T35MRT,56.917
COPERNICUS/S2/20170816T080611_20170816T082518_T35MQT,72.192
COPERNICUS/S2/20170816T080611_20170816T082518_T35MRT,18.722
COPERNICUS/S2/20170821T080959_20170821T082855_T35MQT,27.916
COPERNICUS/S2/20170821T080959_20170821T082855_T35MRT,8.274
COPERNICUS/S2/20170826T081001_20170826T082816_T35MQT,34.799
COPERNICUS/S2/20170826T081001_20170826T082816_T35MRT,74.179
COPERNICUS/S2/20170831T080559_20170831T082511_T35MQT,22.265
COPERNICUS/S2/20170831T080559_20170831T082511_T35MRT,5.621
COPERNICUS/S2/20170905T080611_20170905T082657_T35MQT,28.933
COPERNICUS/S2/20170905T080611_20170905T082657_T35MRT,13.546
COPERNICUS/S2/20170910T080959_20170910T082630_T35MQT,38.886
COPERNICUS/S2/20170910T080959_20170910T082630_T35MRT,24.094
COPERNICUS/S2/20170915T081001_20170915T082647_T35MQT,87.043
COPERNICUS/S2/20170915T081001_20170915T082647_T35MRT,50.036
COPERNICUS/S2/20170920T080609_20170920T082527_T35MQT,78.301
COPERNICUS/S2/20170920T080609_20170920T082527_T35MRT,53.726
COPERNICUS/S2/20170925T080651_20170925T082705_T35MQT,35.12
COPERNICUS/S2/20170925T080651_20170925T082705_T35MRT,28.189
COPERNICUS/S2/20170930T080949_20170930T082637_T35MQT,50.115
COPERNICUS/S2/20170930T080949_20170930T082637_T35MRT,44.722
COPERNICUS/S2/20171005T081001_20171005T082742_T35MQT,39.576
COPERNICUS/S2/20171005T081001_20171005T082742_T35MRT,32.494
COPERNICUS/S2/20171010T080829_20171010T082952_T35MQT,94.878
COPERNICUS/S2/20171010T080829_20171010T082952_T35MRT,96.259
COPERNICUS/S2/20171015T080911_20171015T082611_T35MQT,56.655
COPERNICUS/S2/20171015T080911_20171015T082611_T35MRT,69.244
COPERNICUS/S2/20171020T080949_20171020T081821_T35MQT,98.859
COPERNICUS/S2/20171020T080949_20171020T081821_T35MRT,97.239
COPERNICUS/S2/20171025T081021_20171025T082517_T35MQT,85.669
COPERNICUS/S2/20171025T081021_20171025T082517_T35MRT,97.942
COPERNICUS/S2/20171030T081039_20171030T082101_T35MQT,80.189
COPERNICUS/S2/20171030T081039_20171030T082101_T35MRT,69.131
COPERNICUS/S2/20171104T081111_20171104T082333_T35MQT,96.996
COPERNICUS/S2/20171104T081111_20171104T082333_T35MRT,82.649
COPERNICUS/S2/20171109T081129_20171109T082846_T35MQT,56.011
COPERNICUS/S2/20171109T081129_20171109T082846_T35MRT,51.704
COPERNICUS/S2/20171114T081201_20171114T082710_T35MQT,58.248
COPERNICUS/S2/20171114T081201_20171114T082710_T35MRT,21.707
COPERNICUS/S2/20171119T081219_20171119T083017_T35MQT,48.259
COPERNICUS/S2/20171119T081219_20171119T083017_T35MRT,23.764
COPERNICUS/S2/20171124T081241_20171124T082809_T35MQT,70.069
COPERNICUS/S2/20171124T081241_20171124T082809_T35MRT,44.953
COPERNICUS/S2/20171129T081249_20171129T082200_T35MQT,46.546
COPERNICUS/S2/20171129T081249_20171129T082200_T35MRT,54.002
COPERNICUS/S2/20171204T081311_20171204T082902_T35MQT,30.012
COPERNICUS/S2/20171204T081311_20171204T082902_T35MRT,25.925
COPERNICUS/S2/20171209T081319_20171209T082848_T35MQT,86.169
COPERNICUS/S2/20171209T081319_20171209T082848_T35MRT,59.742
COPERNICUS/S2/20171214T081331_20171214T082022_T35MQT,15.762
COPERNICUS/S2/20171214T081331_20171214T082022_T35MRT,18.314
COPERNICUS/S2/20171219T081329_20171219T082356_T35MQT,64.573
COPERNICUS/S2/20171219T081329_20171219T082356_T35MRT,55.304
COPERNICUS/S2/20171224T081341_20171224T083014_T35MQT,99.519
COPERNICUS/S2/20171224T081341_20171224T083014_T35MRT,98.555
COPERNICUS/S2/20171229T081329_20171229T082109_T35MQT,46
COPERNICUS/S2/20171229T081329_20171229T082109_T35MRT,15.556
COPERNICUS/S2/20180103T081321_20180103T082004_T35MQT,99.358
COPERNICUS/S2/20180103T081321_20180103T082004_T35MRT,96.31
COPERNICUS/S2/20180108T081319_20180108T082301_T35MQT,95.051
COPERNICUS/S2/20180108T081319_20180108T082301_T35MRT,98.156
COPERNICUS/S2/20180113T081301_20180113T081810_T35MQT,96.695
COPERNICUS/S2/20180113T081301_20180113T081810_T35MRT,99.888
COPERNICUS/S2/20180113T081301_20180113T083041_T35MQT,100
COPERNICUS/S2/20180113T081301_20180113T083041_T35MRT,100
COPERNICUS/S2/20180118T081249_20180118T081909_T35MQT,33.398
COPERNICUS/S2/20180118T081249_20180118T081909_T35MRT,44.021
COPERNICUS/S2/20180118T081249_20180118T083042_T35MQT,55.235
COPERNICUS/S2/20180118T081249_20180118T083042_T35MRT,73.75
COPERNICUS/S2/20180123T081231_20180123T082818_T35MQT,75.176
COPERNICUS/S2/20180123T081231_20180123T082818_T35MRT,47.58
COPERNICUS/S2/20180128T081159_20180128T083020_T35MQT,26.357
COPERNICUS/S2/20180128T081159_20180128T083020_T35MRT,7.441
COPERNICUS/S2/20180207T081109_20180207T081823_T35MQT,67.624
COPERNICUS/S2/20180207T081109_20180207T081823_T35MRT,99.395
COPERNICUS/S2/20180212T081041_20180212T081912_T35MQT,99.114
COPERNICUS/S2/20180212T081041_20180212T081912_T35MRT,94.459
COPERNICUS/S2/20180217T081009_20180217T082309_T35MQT,62.344
COPERNICUS/S2/20180217T081009_20180217T082309_T35MRT,4.484
COPERNICUS/S2/20180222T080931_20180222T082913_T35MQT,97.306
COPERNICUS/S2/20180222T080931_20180222T082913_T35MRT,76.385
COPERNICUS/S2/20180227T080849_20180227T082557_T35MQT,90.214
COPERNICUS/S2/20180227T080849_20180227T082557_T35MRT,88.35
COPERNICUS/S2/20180304T080821_20180304T082249_T35MQT,17.747
COPERNICUS/S2/20180304T080821_20180304T082249_T35MRT,12.627
COPERNICUS/S2/20180309T080739_20180309T082359_T35MQT,34.71
COPERNICUS/S2/20180309T080739_20180309T082359_T35MRT,1.358
COPERNICUS/S2/20180314T080711_20180314T082031_T35MQT,32.031
COPERNICUS/S2/20180314T080711_20180314T082031_T35MRT,16.814
COPERNICUS/S2/20180319T080629_20180319T082842_T35MQT,99.799
COPERNICUS/S2/20180319T080629_20180319T082842_T35MRT,99.739
COPERNICUS/S2/20180324T080601_20180324T082424_T35MQT,94.293
COPERNICUS/S2/20180324T080601_20180324T082424_T35MRT,96.719
COPERNICUS/S2/20180329T080559_20180329T082154_T35MQT,66.112
COPERNICUS/S2/20180329T080559_20180329T082154_T35MRT,64.267
COPERNICUS/S2/20180408T080609_20180408T082224_T35MQT,93.274
COPERNICUS/S2/20180408T080609_20180408T082224_T35MRT,90.218
COPERNICUS/S2/20180413T080611_20180413T082532_T35MQT,97.539
COPERNICUS/S2/20180413T080611_20180413T082532_T35MRT,95.44
COPERNICUS/S2/20180418T080609_20180418T082359_T35MQT,40.076
COPERNICUS/S2/20180418T080609_20180418T082359_T35MRT,46.786
COPERNICUS/S2/20180423T080611_20180423T082410_T35MQT,77.352
COPERNICUS/S2/20180423T080611_20180423T082410_T35MRT,31.805
COPERNICUS/S2/20180428T080609_20180428T082642_T35MQT,57.27
COPERNICUS/S2/20180428T080609_20180428T082642_T35MRT,49.253
COPERNICUS/S2/20180503T080611_20180503T082527_T35MQT,66.163
COPERNICUS/S2/20180503T080611_20180503T082527_T35MRT,61.94
COPERNICUS/S2/20180508T080609_20180508T082740_T35MQT,34.455
COPERNICUS/S2/20180508T080609_20180508T082740_T35MRT,21.123
COPERNICUS/S2/20180513T080611_20180513T082013_T35MQT,33.294
COPERNICUS/S2/20180513T080611_20180513T082013_T35MRT,37.626
COPERNICUS/S2/20180518T080609_20180518T081556_T35MQT,52.572
COPERNICUS/S2/20180518T080609_20180518T081556_T35MRT,27.739
COPERNICUS/S2/20180523T080711_20180523T082720_T35MQT,43.443
COPERNICUS/S2/20180523T080711_20180523T082720_T35MRT,26.093
COPERNICUS/S2/20180602T081011_20180602T082512_T35MQT,28.094
COPERNICUS/S2/20180602T081011_20180602T082512_T35MRT,42.897
COPERNICUS/S2/20180607T080609_20180607T082305_T35MQT,55.224
COPERNICUS/S2/20180607T080609_20180607T082305_T35MRT,41.328
COPERNICUS/S2/20180612T080611_20180612T082541_T35MQT,2.979
COPERNICUS/S2/20180612T080611_20180612T082541_T35MRT,0.016
COPERNICUS/S2/20180617T080609_20180617T082555_T35MQT,1.65
COPERNICUS/S2/20180617T080609_20180617T082555_T35MRT,0.185
COPERNICUS/S2/20180622T080611_20180622T082423_T35MQT,96.615
COPERNICUS/S2/20180622T080611_20180622T082423_T35MRT,78.201
COPERNICUS/S2/20180627T080609_20180627T082516_T35MQT,51.554
COPERNICUS/S2/20180627T080609_20180627T082516_T35MRT,62.059
COPERNICUS/S2/20180702T080611_20180702T082232_T35MQT,6.971
COPERNICUS/S2/20180702T080611_20180702T082232_T35MRT,0.919
COPERNICUS/S2/20180707T080609_20180707T082024_T35MQT,15.791
COPERNICUS/S2/20180707T080609_20180707T082024_T35MRT,7.786
COPERNICUS/S2/20180712T080611_20180712T082710_T35MQT,34.933
COPERNICUS/S2/20180712T080611_20180712T082710_T35MRT,31.825
COPERNICUS/S2/20180717T080609_20180717T082247_T35MQT,29.388
COPERNICUS/S2/20180717T080609_20180717T082247_T35MRT,7.221
COPERNICUS/S2/20180722T080611_20180722T082232_T35MQT,71.451
COPERNICUS/S2/20180722T080611_20180722T082232_T35MRT,27.071
COPERNICUS/S2/20180727T080609_20180727T082655_T35MQT,91.389
COPERNICUS/S2/20180727T080609_20180727T082655_T35MRT,78.748
COPERNICUS/S2/20180801T080711_20180801T082616_T35MQT,85.135
COPERNICUS/S2/20180801T080711_20180801T082616_T35MRT,29.874
COPERNICUS/S2/20180806T080559_20180806T082133_T35MQT,88.312
COPERNICUS/S2/20180806T080559_20180806T082133_T35MRT,58.432
COPERNICUS/S2/20180811T080611_20180811T082459_T35MQT,1.899
COPERNICUS/S2/20180811T080611_20180811T082459_T35MRT,9.253
COPERNICUS/S2/20180816T080559_20180816T082305_T35MQT,0.487
COPERNICUS/S2/20180816T080559_20180816T082305_T35MRT,0
COPERNICUS/S2/20180821T080611_20180821T082324_T35MQT,98.565
COPERNICUS/S2/20180821T080611_20180821T082324_T35MRT,99.31
COPERNICUS/S2/20180826T080559_20180826T082920_T35MQT,57.65
COPERNICUS/S2/20180826T080559_20180826T082920_T35MRT,68.27
COPERNICUS/S2/20180831T080601_20180831T082243_T35MQT,73.473
COPERNICUS/S2/20180831T080601_20180831T082243_T35MRT,36.221
COPERNICUS/S2/20180905T080559_20180905T082859_T35MQT,46.737
COPERNICUS/S2/20180905T080559_20180905T082859_T35MRT,83.371
COPERNICUS/S2/20180910T080601_20180910T082814_T35MQT,22.256
COPERNICUS/S2/20180910T080601_20180910T082814_T35MRT,39.661
COPERNICUS/S2/20180915T080559_20180915T081817_T35MQT,24.333
